screenName,total
N_Bayless,4
nfb11,4
AyeYoVontay,4
skorpyos,4
nickyb_zero3,4
jerseygirlmay23,4
bells110,4
queer_queen9,4
malannadelrey,4
ars627,4
rodger_sutton,4
OrdinaryOrnate,4
darnyellejervey,4
toryadkisson,4
jeff_meyer,4
kinkeaddonna5,4
helma599,4
RNRArizona,4
fawn_mac,4
sjyuk3,4
bartemisa1,4
honey6789,4
EvelynGarone,4
26Beautiful,4
BIG_SMALLS,4
MiLUVMiSUMNEEKi,4
TheKyannaSimone,4
J_Emanual,4
AmberCooper70,4
sallyray5,4
JAG_atthebeach,4
cagbi2000,4
GPWriter,4
jlevine922,4
Mama3Cubs,4
CoffeBlackNess,4
russelltim151,4
BenetPolitico,4
jacqlenemoran,4
LoriWill213,4
chrisdabear,4
taylorrenesimp,4
jami737,4
librarianatrix,4
cinderelly78,4
kjones88swag,4
meganlakae,4
Neilson91,4
TWWindham,4
GalenRobin,4
Miss_Placed_,4
jennyyangtv,4
SeineOrchid,4
johnasbury,4
CapOversight,4
faultin0urharry,4
LindaLawrey,4
"_KaMz",4
BornToRun_19,4
EAmaya27_,4
reneebeau,4
ShanePatton88,4
RamitMastiHFSC,4
Asshattitude,4
ScottimusPrime1,4
jennygwatson,4
KarenO665,4
PC_Kyllyr,4
nwflre,4
Pie_SocialMedia,4
Trump_Sniffs,4
foyemely,4
MommyPoker,4
brcollet,4
Jasper_Quasar,4
ProfTowanda,4
booksncheese,4
tomjeff5555,4
pawliticks,4
felictiyqueen,4
mlwag1,4
carynroman,4
rookiephenom,4
chrisgraafff,4
stevo_top14,4
bornneude,4
karenchastain2,4
owletches,4
plouffe_connie,4
ChynnaBlue5,4
AshleeRenayy,4
danajmas,4
engelderliebe80,4
RossDiAnn,4
Heath_JS_,4
DamienOz,4
PinkPolitical,4
kyliewylie78,4
sayara_desert,4
ImInappropriate,4
TrinaD,4
Gas8128,4
LRieman,4
gr_sai,4
snoop2006,4
AccioTV,4
mdunncounsel,4
JadaMarne,4
AaronC_48,4
TanayaRose,4
Summer__Harvey,4
AdryanBorins,4
sandrahall790,4
arcadiacalls,4
kushkandy95,4
WashSquareGirl,4
Favstar250,4
Lizmseger,4
eddie736,4
chevz28aero,4
couldbeyourlife,4
HilaryEscajeda,4
amerikawaehlt,4
1SeriousAmerica,4
cathys808,4
jennrgrimes,4
missparadiseg,4
smaurisak123,4
AidaGray13,4
desdiv61,4
kensredemption,4
TeeChip_USA,4
CASuperrunner,4
urbanclimate,4
debratarkon,4
Melauren,4
Praakriti,4
PeteS77252077,4
solomonosez,4
LesbiHonestSamm,4
h1llary4prez,4
chick_in_kiev,4
BeachCity55,4
AnastasiaYeager,4
BillJ26,4
LindaCrowNEA,4
SecularOutpost,4
fromjesstoyou,4
sandyman66,4
johnblakeart,4
cajunkallie,4
MrFloppyBob,4
"__alanajasmine",4
CrumpetCrumbs,4
Fiona_C1,4
FredGriffin,4
CindyHambro,4
slytherin82,4
MrsCrosley,4
Outsider0utcast,4
Zenoxx69,4
republic2016,4
UdnSpeak4me,4
"__biancat",4
Bahnessaxo,4
AaronMeyerowitz,4
Judigal,4
Theresa_Cali,4
JohnHammontree,4
JackQuipper,4
D2PK,4
Rated_R_afael,4
upbeatlobster,4
MsSpongeyMonkey,4
Gina00904750,4
Sockfood11,4
skew11,4
RSHfromSF,4
Lagartija_Nix,4
BettinaAnter,4
TyrellJ69,4
drumsarelife,4
kjthrailkill,4
rhonda_,4
DAILYBLUEblog,4
LSKhair,4
emilythickinson,4
Jae__Jay,4
babekenobi,4
SampleATL,4
andycecy14,4
hartv15,4
A_Lefty_2,4
reimagination1,4
Decoder2,4
yodelatme,4
marcijthephotog,4
mbohannon9,4
acmtweetbot,4
mingcenteno,4
pmills55,4
AndreaDemonakos,4
carolsiskind,4
manzizzle,4
JamieShopland,4
TrxSxRms,4
AlistaireRimer,4
alexa_dimitruk,4
az70runr,4
theo_venter,4
MarielCheda,4
cajungal62,4
why_wolf,4
nokitof,4
susancole1945,4
Babbie76,4
Virgo119,4
no_name_anne,4
WoodyMcBreairty,4
bobcesca_go,4
MAGAusafirst,4
Tennissify,4
sheafarricy36,4
itnahsat,4
clariissamonet,4
goBEYgo,4
JoannaWoman991,4
Phillygirl1441,4
kailannetts,4
pelston99,4
SueinRockville,4
BriannaWalker,4
largemarge118,4
lesbihes,4
rkalamin,4
bethebest7,4
Michellecmills,4
MaryL1964,4
JackySalinas24,4
JulianSalinas,4
Dont_SHUSH_Me,4
Dr_C2006,4
Shirley_R95,4
csilberman70,4
marymorrtamu85,4
KoDwayne_,4
MRSJONEZ,4
Thogori,4
ttruhell,4
SCRUB58,4
SSMcDAN,4
TheGloriousSOB,4
Msiclvr58,4
Shinogu,4
FergusLFerguson,4
Vallmeister,4
McGillPatterson,4
nathancisd18,4
sarah_s_adams,4
temacube,4
Andrew_Aeling,4
aehelephant,4
LisaKB7,4
ESlapnicker,4
JerriAnnHenry,4
domentora,4
"_stelli_",4
padakitty,4
Liberalette,4
vickyunderhill,4
DHeyerman,4
julfrench71,4
mjspice851,4
whoya,4
scottMontgomery,4
skoaldiver,4
DebbiePeter3,4
abdBasitAgbaje,4
WTFAROUT,4
MMsharbono,4
Learn2choose,4
laurinchen77,4
tx_blue_dot,4
katers513,4
93wibc,4
RPGonFleek,4
KarenLZimmerman,4
ddsquared,4
ablond4ever,4
springfieldnews,4
TumourousGuy,4
rosebharrison3,4
MorganShow1,4
hsotnas,4
suchbunch,4
IAmMichelae,4
callingallfats,4
KSchneid,4
andrew_seegulam,4
Shaksam_,4
aDeliciousMess,4
blondediamond99,4
OleMackDaddy,4
TrashyChic,4
JstanleyStanley,4
stone_balls,4
URJOURNALISM,4
ExistentExile,4
TinaHoman,4
GiaKnows,4
Onikas_Baee,4
ElizabethNeick,4
keating_eleanor,4
c_smith52,4
ChrisCoon4,4
AngelNDisguise0,4
AtlasXIV,4
JT_Fletcher,4
innriched,4
129ALABDULLAH,4
Mariposaland,4
MayumiMidori7,4
panda_dom,4
JazzSoDangeruz,4
halcyonranger,4
mosully,4
PuppyWere,4
skrbelly1,4
EmilyWeisberg,4
ChrysCee,4
abbylynne4,4
jaldous,4
Ward4Anderson,4
pjrenej,4
MarkVanAusdal,4
Luv_Juice,4
NeutralJing,4
siaayrom,4
MalihaQ,4
KahlerSabrina,4
GIRLMEETSMERDER,4
JJ19033,4
cblazina,4
kerryfjacob,4
ShayKashMoney,4
teknicu1r,4
JenD1974,4
ugoAranka,4
sorryimgrapes,4
shempisgod,4
ryanngov_2,4
MellyTheKitten,4
Jeholley7,4
TroylerOTP5ever,4
FELESMALAS,4
GrandmereCat,4
Hamovik247,4
TigCook,4
shoukichis,4
ScooterBee4,4
bellkris928,4
JK_DarkSide,4
barbpaschke23,4
cecyfgarza,4
NTelevisa_com,4
Hesiod2k11,4
RVictoriaAshley,4
1stworldchicano,4
k_santhi,4
wohali50,4
Tylerhooker,4
Bardswan,4
247newschannel_,4
MicheBella,4
sercharlie,4
mattymonsterz,4
jenjennyum,4
uGoTarugo,4
jscottrussell44,4
BreakingNewzman,4
sandio5o9,4
ginny4234,4
chewh115,4
franmary,4
tinyladynadia,4
ZachHartzler,4
FLXobsv,4
stephsanola,4
tanyacontois,4
ShellyZinke,4
NathanMillion,4
artbot345,4
2Dpimp,4
antipandemonium,4
jshockeye,4
Furrystoat,4
alyssaspires,4
rockappla,4
sdelladonna,4
ladydem1943,4
ivyblos,4
ZeroShits2Give,4
erikaberry644,4
1catherinesiena,4
adamisalamb,4
fazrulazril,4
sbaade,4
Andre0910,4
MurphyLillian,4
manita_kapoor,4
StatusAlive,4
URSimplygorgeou,4
LowkeyAwura,4
ebtesam2345,4
BoxAdorable,4
CulturessFS,4
suekhi,4
jolynbowler,4
ndechenne,4
agraddi,4
regwag2003,4
AxelBrodieOfDa7,4
tonywiththeshit,4
jeanssimmons,4
FaganLarry,4
Cha_neen,4
FLEXIN3X,4
raylene_diaz,4
acekish,4
jameskthompson1,4
haroldPDX,4
MyrnaGene,4
ese_erigha,4
Debavellan,4
disgustedvoter2,4
auntieamy90,4
khromtx,4
TrumpPence2020,4
PrincessAnang1,4
daehnedac,4
BenRCongdon,4
SusanCorbin,4
toshpolela,4
BlueGirlRedOC,4
noreen467,4
SerenityKnits,4
cassondra_siaus,4
lbbowyer84,4
MadeforMinaj,4
leymorena_,4
spooky__dog,4
PhillyNate83,4
jacobenimble,4
lynette5151,4
